name,price,category
pui grill,"35,18 lei",carne
oase cu maduva de manzat,"8,24 lei",carne
pulpe superioare de pui,"19,19 lei",carne
carne tocata,"24,99 lei",carne
file din piept de curcan,"58,39 lei",carne
pui familist,"40,78 lei",carne
pulpa inferioara de curcan,"27,59 lei",carne
piept de curcan fara piele si oase,"57,99 lei",carne
ceafa de porc afumata,"23,48 lei",carne
pulpe de pui cu os,"29,99 lei",carne
pulpa de pui cu spate,"14,69 lei",carne
spate de pui cu aripi,"14,86 lei",carne
pulpa de manzat fara os,"30,24 lei",carne
rasol de porc cu os,"19,99 lei",carne
kaiser de porc afumat,"23,98 lei",carne
muschiulet de porc,"29,90 lei",carne
pui,"21,45 lei",carne
pulpe de pui dezosate cu piele,"39,89 lei",carne
carne tocata pulpa curcan,"31,19 lei",carne
pulpe de pui superioare dezosate,"34,83 lei",carne
aripi de curcan,"22,07 lei",carne
carnati de porc,"17,48 lei",carne
pulpa superioara de curcan dezosata,"68,76 lei",carne
fine,"16,90 lei",carne
fleica de porc,"29,99 lei",carne
burta de vita fideluta,"18,99 lei",carne
snitel de pui,"35,99 lei",carne
cocosel de padure,"39,99 lei",carne
carne de,"16,90 lei",carne
aripi sectionate family,"35,98 lei",carne
carne manzat,"24,19 lei",carne
carnati proaspeti rustici,"32,90 lei",carne
carne tocata de manzat,"37,99 lei",carne
vrabioara de manzat,"34,09 lei",carne
muschi file de porc afumat,"22,48 lei",carne
cubulete de porc,"17,99 lei",carne
pulpa de manzat,"54,99 lei",carne
sorici de porc fideluta,"11,99 lei",carne
pulpa superioara de curcan,"53,16 lei",carne
aripi de pui,"21,62 lei",carne
drob de porc,"19,99 lei",carne
snitel de porc,"17,97 lei",carne
carne tocata de vita ecologica,"67,99 lei",carne
vrabioara de manzat fara os vrac,"55,99 lei",carne
rata grill,"38,38 lei",carne
antricot de manzat fara os,"34,09 lei",carne
gaturi de pui fara piele,"8,28 lei",carne
urechi de porc,"23,30 lei",carne
carne de hamburger,"15,99 lei",carne
ciocanele,"31,49 lei",carne
jumatate de pui,"39,99 lei",carne
parizer cu carne de porc,"7,79 lei",mezeluri
salam sandwich,"4,75 lei",mezeluri
muschi file,"8,35 lei",mezeluri
sunca praga,"7,99 lei",mezeluri
gusa afumata,"14,66 lei",mezeluri
salam,"5,99 lei",mezeluri
muschi tiganesc,"7,45 lei",mezeluri
sunca,"11,60 lei",mezeluri
salam de,"9,99 lei",mezeluri
bacon micdejun,"11,10 lei",mezeluri
salam sarbesc,"4,99 lei",mezeluri
sunca de curcan feliata,"9,15 lei",mezeluri
sunca feliata din pulpa de porc,"11,50 lei",mezeluri
jambon de curcan,"9,99 lei",mezeluri
ciolan afumat fara os,"13,95 lei",mezeluri
bacon,"9,50 lei",mezeluri
muschi file afumat si feliat,"6,49 lei",mezeluri
martinel,"6,95 lei",mezeluri
bacon afumat feliat,"6,49 lei",mezeluri
kaiser afumat,"25,29 lei",mezeluri
carnati,"10,99 lei",mezeluri
salam banatean feliat,"8,25 lei",mezeluri
sunca din piept de pui,"9,85 lei",mezeluri
sunca taraneasca,"16,00 lei",mezeluri
sunca de curcan,"7,70 lei",mezeluri
parizer cu piept de pui,"9,99 lei",mezeluri
crenvursti din piept de pui,"11,59 lei",mezeluri
salam mangalita,"14,80 lei",mezeluri
bacon cubulete,"15,99 lei",mezeluri
muschi tiganesc feliat,"7,90 lei",mezeluri
bacon crud,"10,50 lei",mezeluri
salam de vara,"13,59 lei",mezeluri
salam banatean,"9,45 lei",mezeluri
bacon feliat,"14,80 lei",mezeluri
oase garf afumate,"22,06 lei",mezeluri
crenvursti de porc,"10,99 lei",mezeluri
cabanos extra,"19,90 lei",mezeluri
salam de curcan,"10,90 lei",mezeluri
cotlet haiducesc felii,"25,99 lei",mezeluri
sunca din piept de curcan,"8,65 lei",mezeluri
muschi,"5,29 lei",mezeluri
salam rustic,"4,80 lei",mezeluri
muschi file cu mirodenii,"8,85 lei",mezeluri
sunca fina de praga,"13,30 lei",mezeluri
carnati oltenesti,"11,29 lei",mezeluri
jambon feliat,"13,49 lei",mezeluri
sunca de pui feliata,"7,45 lei",mezeluri
prosciutto crudo,"15,99 lei",mezeluri
salam de vara feliat,"4,99 lei",mezeluri
cotlet haiducesc,"7,35 lei",mezeluri
mortadella de pasare,"6,95 lei",mezeluri
slaninuta boiereasca,"22,50 lei",mezeluri
carnati picanti,"7,49 lei",mezeluri
bacon cruduscat,"8,59 lei",mezeluri
salam toscan feliat,"8,05 lei",mezeluri
muschi file afumat feliat,"7,85 lei",mezeluri
salam uscat feliat,"5,99 lei",mezeluri
salam de curcan cu masline feliat,"6,70 lei",mezeluri
ceafa presata feliata,"7,35 lei",mezeluri
salam feliat,"11,30 lei",mezeluri
jambon feliat din piept de curcan,"18,90 lei",mezeluri
salam de iarna,"8,95 lei",mezeluri
pastrama afumata feliata,"5,89 lei",mezeluri
aperitiv italian,"18,50 lei",mezeluri
piept de pui afumat,"8,05 lei",mezeluri
salam sandvis feliat,"4,75 lei",mezeluri
salam cu sunca,"15,49 lei",mezeluri
salam trapez cu invelis de mirodenii,"8,20 lei",mezeluri
salam de caprioara feliat,"11,49 lei",mezeluri
salam cu sunca feliat,"5,49 lei",mezeluri
ciolan afumat cu os,"24,99 lei",mezeluri
toba,"22,50 lei",mezeluri
bacon afumat,"22,60 lei",mezeluri
jambon,"22,99 lei",mezeluri
muschi fiert afumat feliat,"5,89 lei",mezeluri
carnati afumati picanti,"15,99 lei",mezeluri
felii de sunci,"20,60 lei",mezeluri
muschi crud uscat,"13,40 lei",mezeluri
salam din carne de porc si vita,"14,89 lei",mezeluri
prosciutto crudo busuioc,"27,30 lei",mezeluri
salam trapez cu invelis de piper negru,"8,20 lei",mezeluri
jambon de porc felii,"12,99 lei",mezeluri
salam de vara uscat si feliat,"5,99 lei",mezeluri
jambon serrano feliat,"17,80 lei",mezeluri
piept de pui feliat,"9,70 lei",mezeluri
sunca feliata,"26,60 lei",mezeluri
pancetta afumata feliata,"10,60 lei",mezeluri
sunca cu ceafa de porc,"6,99 lei",mezeluri
sunca de pui,"6,50 lei",mezeluri
cotlet de porc felii,"13,49 lei",mezeluri
salata icre de crap cu ceapa,"3,60 lei",pescarie
macrou afumat,"6,50 lei",pescarie
file de somon afumat,"16,90 lei",pescarie
biban de mare,"38,90 lei",pescarie
merluciu,"33,00 lei",pescarie
pastrav file,"44,70 lei",pescarie
somon de,"29,90 lei",pescarie
file de macrou afumat,"11,90 lei",pescarie
salata icre de crap,"8,90 lei",pescarie
icre de somon,"33,90 lei",pescarie
salata icre de hering cu ceapa,"4,90 lei",pescarie
creveti fara codita congelati,"28,90 lei",pescarie
salata icre de stiuca,"16,90 lei",pescarie
salata icre de hering cu somon,"6,90 lei",pescarie
file de ton rosu,"32,80 lei",pescarie
merluciu trunchi congelat,"29,00 lei",pescarie
hering marinat,"19,90 lei",pescarie
pastrav afumat,"19,90 lei",pescarie
macrou congelat eviscerat,"40,04 lei",pescarie
inele de calamar congelate,"22,90 lei",pescarie
creveti,"25,90 lei",pescarie
cocktail fructe de mare congelate,"24,00 lei",pescarie
midii,"26,90 lei",pescarie
zacusca din peste cu ciuperci,"26,99 lei",pescarie
pastrav ardelenesc,"21,90 lei",pescarie
bagheta de peste,"21,90 lei",pescarie
somon marinat nefeliat,"73,50 lei",pescarie
pastrav eviscerat,"36,00 lei",pescarie
somon file,"69,90 lei",pescarie
fish,"19,90 lei",pescarie
salata icre hering cu ceapa,"12,30 lei",pescarie
file hering matinat cu lamaie,"10,00 lei",pescarie
crap proaspat captura,"40,00 lei",pescarie
salata cu icre stiuca si ceapa,"12,40 lei",pescarie
somon file afumat,"22,90 lei",pescarie
icre sarate de hering,"14,20 lei",pescarie
icre sarate de cod,"10,90 lei",pescarie
salata icre de crap si ceapa,"4,85 lei",pescarie
salata icre cu ton,"12,40 lei",pescarie
apa carbogazoasa minerala,"3,35 lei",apa
apa plata,"3,75 lei",apa
apa carbogazoasa de izvor,"1,79 lei",apa
apa carbogazoasa minerala naturala,"3,85 lei",apa
apa plata minerala naturala,"6,95 lei",apa
apa plata de izvor,"6,99 lei",apa
apa minerala naturala plata,"16,25 lei",apa
apa minerala naturala slab carbogazoasa,"3,95 lei",apa
apa plata minerala,"6,35 lei",apa
apa carbogazoasa partial,"6,25 lei",apa
apa minerala naturala carbogazoasa,"19,99 lei",apa
bautura carbogazoasa,"4,95 lei",apa
apa minerala naturala carbogazificata,"3,85 lei",apa
bautura carbogazoasa cu aroma de mar,"4,95 lei",apa
apa fructata cu mar,"5,95 lei",apa
apa fructata cu piersica,"5,95 lei",apa
apa carbogazoasa,"3,15 lei",apa
apa plata cu capac sport,"3,25 lei",apa
apa minerala naturala carbozificata partial,"3,39 lei",apa
apa fructata cu lamaie,"5,95 lei",apa
apa plata oligominerala,"2,95 lei",apa
apa fructata cu aroma de visina,"5,95 lei",apa
apa fructata cu aroma de mango,"5,95 lei",apa
apa plata naturala,"3,65 lei",apa
apa cu aroma de capsuni,"3,30 lei",apa
apa plata minerala light,"4,25 lei",apa
apa carbogazoasa light,"3,45 lei",apa
sirop de visine,"12,49 lei",bauturi-racoritoare
sirop de soc cu lamaie,"12,49 lei",bauturi-racoritoare
sirop de capsune,"12,49 lei",bauturi-racoritoare
sirop de afine,"12,49 lei",bauturi-racoritoare
suc natural de mere,"17,99 lei",bauturi-racoritoare
sirop de zmeura,"12,49 lei",bauturi-racoritoare
suc natural de mere cu pere,"19,99 lei",bauturi-racoritoare
sirop de fructe de padure,"12,49 lei",bauturi-racoritoare
suc natural de mere si soc,"19,99 lei",bauturi-racoritoare
suc natural de mere cu visine,"19,99 lei",bauturi-racoritoare
bautura necarbogazoasa cu mere si sfecla,"19,99 lei",bauturi-racoritoare
sirop de capsuni,"22,99 lei",bauturi-racoritoare
suc natural de mere si caise,"9,20 lei",bauturi-racoritoare
bautura carbogazoasa cu aroma de struguri rosii,"7,15 lei",bauturi-racoritoare
suc natural de piersici,"7,85 lei",bauturi-racoritoare
suc natural de portocale,"7,85 lei",bauturi-racoritoare
bautura carbogazoasa cu gust de lamaie,"14,99 lei",bauturi-racoritoare
bautura carbogazoasa cu aroma de mandarine,"7,89 lei",bauturi-racoritoare
bautura necarbogazoasa cu mere si zmeura,"7,75 lei",bauturi-racoritoare
bautura carbogazoasa cu aroma de soc si lamaie,"7,15 lei",bauturi-racoritoare
suc natural de tomate,"7,04 lei",bauturi-racoritoare
apa tonica,"7,89 lei",bauturi-racoritoare
bautura carbogazoasa cu suc de struguri,"11,40 lei",bauturi-racoritoare
bautura necarbogazoasa cu mar verde,"5,29 lei",bauturi-racoritoare
bautura necarbogazoasa cu portocale,"5,29 lei",bauturi-racoritoare
bautura necarbogazoasa cu pere,"5,29 lei",bauturi-racoritoare
bautura racoritoare,"3,15 lei",bauturi-racoritoare
bautura necarbogazoasa cu zmeura,"3,35 lei",bauturi-racoritoare
vin rosu sec,"55,70 lei",bauturi alcoolice
vin alb sec,"20,90 lei",bauturi alcoolice
purcari,"72,90 lei",bauturi alcoolice
vin rose sec,"33,90 lei",bauturi alcoolice
caii,"31,70 lei",bauturi alcoolice
vin frizzante rose,"25,90 lei",bauturi alcoolice
vin alb demisec,"18,40 lei",bauturi alcoolice
vin rosu demidulce,"13,99 lei",bauturi alcoolice
prosecco alb sec,"38,70 lei",bauturi alcoolice
vin alb demidulce,"13,99 lei",bauturi alcoolice
vin roze demidulce,"13,99 lei",bauturi alcoolice
vin spumant alb demisec,"20,90 lei",bauturi alcoolice
vin spumant rose demidulce,"26,10 lei",bauturi alcoolice
sampanie pentru copii cu piersici,"14,40 lei",bauturi alcoolice
vin rosu dulce,"14,80 lei",bauturi alcoolice
vin rosu demisec,"9,50 lei",bauturi alcoolice
bautura carbogazoasa cu zmeura,"14,40 lei",bauturi alcoolice
vin roze demisec,"5,19 lei",bauturi alcoolice
bautura carbogazoasa cu capsuni,"14,40 lei",bauturi alcoolice
sampanie pentru copii,"13,70 lei",bauturi alcoolice
vin alb dulce,"17,99 lei",bauturi alcoolice
vin rose demisec,"34,90 lei",bauturi alcoolice
vin,"14,80 lei",bauturi alcoolice
vin spumant rose,"40,90 lei",bauturi alcoolice
vin rose demidulce,"14,30 lei",bauturi alcoolice
vin rose dulce,"14,80 lei",bauturi alcoolice
prosecco rose,"17,90 lei",bauturi alcoolice
mionetto,"60,70 lei",bauturi alcoolice
pachet prosecco,"39,49 lei",bauturi alcoolice
vin rosu sec fara alcool,"36,90 lei",bauturi alcoolice
vin frizzante rose demidulce,"21,90 lei",bauturi alcoolice
vin spumant,"42,00 lei",bauturi alcoolice
prosecco alb extra sec,"33,59 lei",bauturi alcoolice
vin spumant alb,"40,90 lei",bauturi alcoolice
vin alb sec de,"39,80 lei",bauturi alcoolice
vin sec roze de,"40,20 lei",bauturi alcoolice
bautura aromatizata pe baza de vin rosu,"29,90 lei",bauturi alcoolice
bautura aromatizata pe baza de vin rose,"29,90 lei",bauturi alcoolice
vin spumant roze dulce,"24,10 lei",bauturi alcoolice
rom,"179,99 lei",bauturi alcoolice
tequila,"59,99 lei",bauturi alcoolice
gin,"45,60 lei",bauturi alcoolice
whisky,"61,50 lei",bauturi alcoolice
scotch,"46,90 lei",bauturi alcoolice
pachet whiskey,"52,99 lei",bauturi alcoolice
vodka,"29,00 lei",bauturi alcoolice
vodca,"82,40 lei",bauturi alcoolice
pachet whisky,"64,58 lei",bauturi alcoolice
irish,"65,89 lei",bauturi alcoolice
premium,"55,60 lei",bauturi alcoolice
whiskey,"90,40 lei",bauturi alcoolice
rum alb,"30,95 lei",bauturi alcoolice
scotch whisky,"55,10 lei",bauturi alcoolice
blended,"103,49 lei",bauturi alcoolice
gin cu aroma de gutuie,"129,00 lei",bauturi alcoolice
pachet rom,"154,99 lei",bauturi alcoolice
rom alb,"69,90 lei",bauturi alcoolice
dry,"62,40 lei",bauturi alcoolice
pachet,"63,49 lei",bauturi alcoolice
vodka premium,"58,10 lei",bauturi alcoolice
gin cu aroma de zmeura,"129,00 lei",bauturi alcoolice
whiskey single malt,"259,99 lei",bauturi alcoolice
irish whisky,"36,70 lei",bauturi alcoolice
tequilla,"70,50 lei",bauturi alcoolice
discovery,"27,80 lei",bauturi alcoolice
london,"73,60 lei",bauturi alcoolice
vodka mccoy,"10,75 lei",bauturi alcoolice
brandy,"68,20 lei",bauturi alcoolice
bautura spirtoasa,"45,60 lei",bauturi alcoolice
cocktail,"13,80 lei",bauturi alcoolice
vinars,"78,40 lei",bauturi alcoolice
pachet bautura,"249,99 lei",bauturi alcoolice
pachet brandy,"57,99 lei",bauturi alcoolice
lichior,"63,10 lei",bauturi alcoolice
palinca de prune,"201,00 lei",bauturi alcoolice
visinata,"114,00 lei",bauturi alcoolice
afinata,"113,00 lei",bauturi alcoolice
bautura traditionala,"242,00 lei",bauturi alcoolice
cocktail cu suc de lamaie si extracte de menta si soc,"17,99 lei",bauturi alcoolice
cocktail cu suc de lamaie,"17,99 lei",bauturi alcoolice
bautura carbogazoasa fara alcool cu aroma de guava,"12,70 lei",bauturi alcoolice
bautura carbogazoasa cu aroma de fructul pasiunii,"12,70 lei",bauturi alcoolice
cocktail cu aroma de soc,"28,80 lei",bauturi alcoolice
lichior de cafea si ciocolata alba,"137,00 lei",bauturi alcoolice
vermut,"50,30 lei",bauturi alcoolice
lichior crema de whisky,"23,99 lei",bauturi alcoolice
bautura alcoolica,"85,50 lei",bauturi alcoolice
aperitiv,"28,79 lei",bauturi alcoolice
bautura carbogazoasa cu aroma de grapefruit roz,"12,70 lei",bauturi alcoolice
bautura aperitiv,"72,99 lei",bauturi alcoolice
bautura carbogazoasa fara alcool cu aroma de ananas si cocos,"12,70 lei",bauturi alcoolice
lichiorcrema de tiramisu,"23,99 lei",bauturi alcoolice
pachet lichior,"63,59 lei",bauturi alcoolice
jidvei,"90,20 lei",bauturi alcoolice
bautura alcoolica carbogazoasa cu aroma de mere,"4,99 lei",bauturi alcoolice
coniac,"147,99 lei",bauturi alcoolice
aperitiv cu gust de visine,"19,90 lei",bauturi alcoolice
bacardi cu lime,"11,10 lei",bauturi alcoolice
lichior cu cafea,"67,70 lei",bauturi alcoolice
bere cu aroma de tequila,"7,75 lei",bauturi alcoolice
pachet pentru cadou,"86,70 lei",bauturi alcoolice
alcool rafinat,"57,00 lei",bauturi alcoolice
palinca de,"157,99 lei",bauturi alcoolice
tuica de prune,"90,90 lei",bauturi alcoolice
bautura spirtoasa alba v,"20,80 lei",bauturi alcoolice
lichiorcrema de ciocolata,"23,99 lei",bauturi alcoolice
lichior de fructe,"35,20 lei",bauturi alcoolice
lichior de portocale,"113,00 lei",bauturi alcoolice
bacardi,"11,10 lei",bauturi alcoolice
cocktail cu suc de portocale si extract de plante amare,"9,05 lei",bauturi alcoolice
lichior plante,"55,40 lei",bauturi alcoolice
cocktail cu whiskey,"9,99 lei",bauturi alcoolice
pachet pentru cadou bautura spirtoasa,"67,69 lei",bauturi alcoolice
lichior de cafea,"94,90 lei",bauturi alcoolice
absolut,"10,60 lei",bauturi alcoolice
digestiv,"95,50 lei",bauturi alcoolice
aperol,"49,60 lei",bauturi alcoolice
bere aromatizata,"13,60 lei",bauturi alcoolice
cocktail din vin de fructe,"13,60 lei",bauturi alcoolice
cocktail cu extracte de plante si fructe,"9,05 lei",bauturi alcoolice
bere blonda,"6,85 lei",bauturi alcoolice
bere artizanala blonda,"9,50 lei",bauturi alcoolice
bere blonda nefiltrata,"9,70 lei",bauturi alcoolice
bere bruna,"6,05 lei",bauturi alcoolice
bere aramie,"6,25 lei",bauturi alcoolice
bere aramie nefiltrata,"10,60 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de grepefruit,"20,40 lei",bauturi alcoolice
cidru cu aroma de capsuni si fragute,"3,49 lei",bauturi alcoolice
cidru,"5,45 lei",bauturi alcoolice
bere blonda fara alcool,"6,25 lei",bauturi alcoolice
cidru cu aroma de cirese,"3,49 lei",bauturi alcoolice
bere blonda fara alcool cu ghimbir,"10,70 lei",bauturi alcoolice
bere fara alcool,"8,89 lei",bauturi alcoolice
cidru cu aroma de afine,"3,49 lei",bauturi alcoolice
cidru cu aroma de zmeura,"3,49 lei",bauturi alcoolice
bere alba,"8,89 lei",bauturi alcoolice
bere blonda fara alcool cu lamaie,"4,35 lei",bauturi alcoolice
cidru cu aroma de lamaie si menta,"3,49 lei",bauturi alcoolice
bere alba nefiltrata,"7,89 lei",bauturi alcoolice
bere neagra,"23,75 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de ananas si guava,"5,10 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de zmeura,"4,35 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de lamaie,"19,20 lei",bauturi alcoolice
cidru rose sec din mere,"5,45 lei",bauturi alcoolice
bere,"3,95 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de cirese,"20,40 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de rodie,"4,75 lei",bauturi alcoolice
bere blonda fara alcool cu aroma de zmeura si afine,"4,55 lei",bauturi alcoolice
ulei de floarea soarelui,"7,49 lei",alimente-de-baza
spaghetti n,"5,45 lei",alimente-de-baza
fusilli n,"5,75 lei",alimente-de-baza
orez pentru pilaf,"9,55 lei",alimente-de-baza
orez camolino,"8,55 lei",alimente-de-baza
pesmet,"4,29 lei",alimente-de-baza
mini,"7,25 lei",alimente-de-baza
faina alba,"2,05 lei",alimente-de-baza
fulgi de nuca de cocos,"1,59 lei",alimente-de-baza
gris din grau,"1,99 lei",alimente-de-baza
penne,"12,80 lei",alimente-de-baza
paste fainoase,"2,19 lei",alimente-de-baza
paste,"5,99 lei",alimente-de-baza
drojdie uscata,"2,19 lei",alimente-de-baza
spaghettini n,"6,05 lei",alimente-de-baza
farfalle n,"6,49 lei",alimente-de-baza
orez pentru sarmale calitatea,"7,90 lei",alimente-de-baza
paste fainoase spaghete,"2,39 lei",alimente-de-baza
amidon de porumb,"2,39 lei",alimente-de-baza
tagliatelle cu ou,"11,50 lei",alimente-de-baza
bors acru,"2,49 lei",alimente-de-baza
orez bob rotund,"6,99 lei",alimente-de-baza
esenta cu aroma de vanilie,"0,69 lei",alimente-de-baza
orez bob lung camolino,"6,49 lei",alimente-de-baza
fasole alba bob mare,"6,99 lei",alimente-de-baza
bicarbonat de sodiu,"0,99 lei",alimente-de-baza
miez de nuca macinat,"29,49 lei",alimente-de-baza
mac,"2,50 lei",alimente-de-baza
esenta cu aroma de rom,"0,69 lei",alimente-de-baza
taitei cuiburi,"2,39 lei",alimente-de-baza
faina alba pentru prajituri,"2,80 lei",alimente-de-baza
linguine,"6,80 lei",alimente-de-baza
linte rosie,"12,30 lei",alimente-de-baza
naut,"4,99 lei",alimente-de-baza
paste integrale,"7,80 lei",alimente-de-baza
zahar pudra vanilinat,"1,19 lei",alimente-de-baza
faina alba pentru cozonac,"2,80 lei",alimente-de-baza
sare de lamaie,"0,28 lei",alimente-de-baza
vopsea oua gel,"11,99 lei",alimente-de-baza
esenta cu aroma de lamaie,"0,69 lei",alimente-de-baza
zahar vanilinat,"0,29 lei",alimente-de-baza
drajeuri cu rom si cocos,"26,99 lei",alimente-de-baza
ulei de cocos,"30,50 lei",alimente-de-baza
orez bob lung,"6,99 lei",alimente-de-baza
fasole pestrita,"4,99 lei",alimente-de-baza
orez brun,"10,10 lei",alimente-de-baza
lapte praf instant din soia integrala,"18,40 lei",alimente-de-baza
indulcitor,"16,99 lei",alimente-de-baza
zahar alb,"10,80 lei",alimente-de-baza
zahar,"2,99 lei",alimente-de-baza
ulei de floarea soarelui rafinat cu vitamina,"14,99 lei",alimente-de-baza
faina extra,"2,99 lei",alimente-de-baza
zahar la punga de hartie,"3,99 lei",alimente-de-baza
zahar punga hartie,"3,45 lei",alimente-de-baza
praf de copt,"1,45 lei",alimente-de-baza
malai,"4,45 lei",alimente-de-baza
faina alba tip,"2,99 lei",alimente-de-baza
bors,"3,85 lei",alimente-de-baza
zahar pachet hartie,"3,79 lei",alimente-de-baza
baghete de zahar brun,"10,00 lei",alimente-de-baza
malai pentru mamaliga,"5,49 lei",alimente-de-baza
gris,"3,75 lei",alimente-de-baza
esenta de vanilie,"4,90 lei",alimente-de-baza
piscoturi,"9,99 lei",alimente-de-baza
otet de mere,"3,95 lei",alimente-de-baza
zahar vanilat bourbon,"2,35 lei",alimente-de-baza
cacao,"4,25 lei",alimente-de-baza
fidea de preparare rapida cu gust de pui gr,"2,10 lei",alimente-de-baza
malai extra gold,"2,39 lei",alimente-de-baza
faina alba de grau tip,"4,25 lei",alimente-de-baza
zahar brun,"4,55 lei",alimente-de-baza
esenta de portocala,"4,90 lei",alimente-de-baza
esenta de rom,"4,40 lei",alimente-de-baza
esenta de lamaie,"4,90 lei",alimente-de-baza
cafea solubila,"7,05 lei",ceai-si-cafea
cafea macinata,"11,99 lei",ceai-si-cafea
cafea instant,"15,29 lei",ceai-si-cafea
ceai mix cu fructe de padure,"2,99 lei",ceai-si-cafea
cafea boabe,"99,99 lei",ceai-si-cafea
ceai de menta,"2,10 lei",ceai-si-cafea
cafea macinata arabica classico,"16,99 lei",ceai-si-cafea
ceai de fructe cu capsune,"2,99 lei",ceai-si-cafea
capsule cafea,"40,30 lei",ceai-si-cafea
ceai de musetel,"2,10 lei",ceai-si-cafea
ceai de plante sunatoare,"2,10 lei",ceai-si-cafea
